name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"with_std_endl",10000,302312,23437.5,ns,,,,,
"without_std_endl",100000,32847.5,6250,ns,,,,,
